model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
mistral,normal,education,college and more,18.0,486,-0.17041415664264742,-0.17290131692891766,-0.2834457298969049,-0.27000619825027306,0.11303157325425757,0.08331821622016464,-0.3425925925925926,0.0
mistral,normal,education,college and more,20.0,486,-0.16955621233286902,-0.17100884726664636,-0.28282392083824154,-0.26893467324460063,0.11326770850537254,0.08459927178129728,-0.3405349794238683,0.0
mistral,normal,socioeco,low,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,socioeco,low,2.0,486,-0.3520709672166889,-0.3469863765729194,-0.27705314375301077,-0.2731648703612711,-0.07501782346367804,-0.0373968074488738,0.2294238683127572,0.0
mistral,normal,socioeco,low,4.0,486,-0.33361432368743255,-0.2957224426273647,-0.25415400631741114,-0.23497476496465614,-0.07946031737002139,-0.05780533173355526,0.22530864197530864,0.0
mistral,normal,socioeco,low,6.0,486,-0.3168250865198732,-0.2611161215396288,-0.23667589502681713,-0.21179206346699772,-0.080149191493056,-0.06130859186717946,0.24794238683127573,0.0
mistral,normal,socioeco,low,8.0,486,-0.30637852475773375,-0.25017958384564276,-0.22637443146018416,-0.19956988989407612,-0.08000409329754951,-0.06276700704844168,0.24794238683127573,0.0
mistral,normal,socioeco,low,10.0,486,-0.3002181612283872,-0.24281143453004483,-0.21997859702147132,-0.19139109211152783,-0.0802395642069159,-0.06501469999999998,0.24382716049382716,0.0
mistral,normal,socioeco,low,12.0,486,-0.29599208372114927,-0.23534935860476508,-0.21567512365725316,-0.1856183751405567,-0.08031696006389612,-0.06523417000000006,0.24794238683127573,0.0
mistral,normal,socioeco,low,14.0,486,-0.29252032696919955,-0.23317103316943194,-0.2123160845050778,-0.18166508991730912,-0.08020424246412175,-0.06364540031581359,0.25,0.0
mistral,normal,socioeco,low,16.0,486,-0.2892019397103681,-0.23027976272882816,-0.2093232003605497,-0.17904456694334425,-0.07987873934981841,-0.06584540645679482,0.25823045267489714,0.0
mistral,normal,socioeco,low,18.0,486,-0.2873183165066573,-0.22878063169114282,-0.20739295909757532,-0.17444068546439817,-0.079925357409082,-0.0639432447090739,0.25617283950617287,0.0
mistral,normal,socioeco,low,20.0,486,-0.2857677263790396,-0.22664230884289613,-0.2058044713609364,-0.17143425857720196,-0.07996325501810315,-0.06640492507872617,0.25617283950617287,0.0
mistral,normal,socioeco,high,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,socioeco,high,2.0,486,-0.2712169789380624,-0.26648451588584915,-0.34514332162466477,-0.34733140644813754,0.07392634268660239,0.03570016184853568,-0.22530864197530864,0.0
mistral,normal,socioeco,high,4.0,486,-0.24780017398299434,-0.22812065879687354,-0.31715045578971846,-0.28668786956090186,0.0693502818067241,0.05131916329367342,-0.22530864197530864,0.0
mistral,normal,socioeco,high,6.0,486,-0.2165058729432533,-0.18951256725462126,-0.2830365454924794,-0.2459168791489919,0.06653067254922612,0.053822009670668775,-0.23148148148148148,0.0
mistral,normal,socioeco,high,8.0,486,-0.19835289531043368,-0.17408340940095512,-0.26337663684312845,-0.22332429341632304,0.06502374153269484,0.05609405008197427,-0.23353909465020575,0.0
mistral,normal,socioeco,high,10.0,486,-0.18730878829456155,-0.16209795135822264,-0.25160783377813534,-0.20885340275823183,0.06429904548357379,0.05546852960599605,-0.2294238683127572,0.0
mistral,normal,socioeco,high,12.0,486,-0.18071490713533897,-0.1555263925708599,-0.24445720569290696,-0.2041614936744975,0.06374229855756793,0.05609405008197424,-0.2294238683127572,0.0
mistral,normal,socioeco,high,14.0,486,-0.17541327927835662,-0.15092552076886134,-0.23881100511513365,-0.19882745001027108,0.06339772583677701,0.05488301886974878,-0.2273662551440329,0.0
mistral,normal,socioeco,high,16.0,486,-0.17240002696905682,-0.14965115078298039,-0.23556810100434503,-0.19591580840952913,0.06316807403528821,0.05409765512155518,-0.2273662551440329,0.0
mistral,normal,socioeco,high,18.0,486,-0.16968213425790182,-0.14376978547651534,-0.23254489068097578,-0.19295828042479438,0.06286275642307398,0.05453320000000039,-0.22530864197530864,0.0
mistral,normal,socioeco,high,20.0,486,-0.167153055629238,-0.14201526599150038,-0.22988783641499871,-0.19007836051804572,0.06273478078576072,0.0538220096706688,-0.22325102880658437,0.0
mistral,contrastive,gender,male,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,contrastive,gender,male,2.0,484,-0.3432039550700208,-0.3144617519059474,-0.28095278924912925,-0.2700140242801866,-0.06225116582089156,-0.017681544835327356,0.1797520661157025,0.0
mistral,contrastive,gender,male,4.0,484,-0.31548349222893457,-0.2827534791964984,-0.2443277995425557,-0.21635846161339178,-0.07115569268637888,-0.02462468597265205,0.21694214876033058,0.0
mistral,contrastive,gender,male,6.0,484,-0.3043746666127118,-0.27369673935125993,-0.2321592704194985,-0.20082392213528977,-0.07221539619321327,-0.026903453345709982,0.22520661157024793,0.0
