qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GUNRESPNOKIDSD_W26,socioeco,low,"Less than $30,000",declared,,0.6073429585685297,0.3906201040418036
GUNRESPNOKIDSD_W26,socioeco,mid,"$50,000-$75,000",declared,,0.10317961592538691,0.10317961592538692
GUNRESPNOKIDSD_W26,socioeco,high,"$100,000 or more",declared,,0.22999667660531942,0.21093998839608596
GUNRESPNOKIDSE_W26,gender,male,Male,declared,,0.5576538436144678,0.3847922357016049
GUNRESPNOKIDSE_W26,gender,female,Female,declared,,0.16827613271556208,0.16827613271556197
GUNRESPNOKIDSE_W26,age,adult,30-49,declared,,0.6619295293675986,0.2871203613027987
GUNRESPNOKIDSE_W26,age,older_adult,65+,declared,,0.5665295296364944,0.3394191884228537
GUNRESPNOKIDSE_W26,education,some schooling,Less than high school,declared,,0.8340897155319678,0.3231877175202921
GUNRESPNOKIDSE_W26,education,high school,High school graduate,declared,,0.3312868324570869,0.2565865678119295
GUNRESPNOKIDSE_W26,education,college and more,College graduate/some postgrad,declared,,0.5822947914070605,0.34640421802626814
GUNRESPNOKIDSE_W26,socioeco,low,"Less than $30,000",declared,,0.25526283603294236,0.2355193566869954
GUNRESPNOKIDSE_W26,socioeco,mid,"$50,000-$75,000",declared,,0.9925207412679776,0.4855941419953877
GUNRESPNOKIDSE_W26,socioeco,high,"$100,000 or more",declared,,0.7481823000000001,0.3582401700000001
GUNRESPNOKIDSF_W26,gender,male,Male,declared,,0.6409154144773214,0.4658848119235599
GUNRESPNOKIDSF_W26,gender,female,Female,declared,,0.29206624243936286,0.26207852346750254
GUNRESPNOKIDSF_W26,age,adult,30-49,declared,,0.4954468425710229,0.27090922945411433
GUNRESPNOKIDSF_W26,age,older_adult,65+,declared,,0.3203121560263711,0.2337370395534999
GUNRESPNOKIDSF_W26,education,some schooling,Less than high school,declared,,1.0444458438931297,0.4972004210441144
